filesize,e_magic,e_lfanew,Machine,NumberOfSections,TimeDateStamp,Characteristics,AddressOfEntryPoint,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MajorSubsystemVersion,Subsystem,SizeOfImage,SizeOfHeaders,CheckSum,NumberOfRvaAndSizes,sections_mean_entropy,sections_min_entropy,sections_max_entropy,sections_mean_size,imports,imported_functions,filesize_shap,e_magic_shap,e_lfanew_shap,Machine_shap,NumberOfSections_shap,TimeDateStamp_shap,Characteristics_shap,AddressOfEntryPoint_shap,ImageBase_shap,SectionAlignment_shap,FileAlignment_shap,MajorOperatingSystemVersion_shap,MajorSubsystemVersion_shap,Subsystem_shap,SizeOfImage_shap,SizeOfHeaders_shap,CheckSum_shap,NumberOfRvaAndSizes_shap,sections_mean_entropy_shap,sections_min_entropy_shap,sections_max_entropy_shap,sections_mean_size_shap,imports_shap,imported_functions_shap,true_label,predicted_label,is_correct
783776,23117,296,332,7,1744787774,258,94752,4194304,4096,512,6,6,2,786432,1024,812236,16,4.2761580199180695,0.7903686829643138,6.644267453689497,108324.57142857143,1,6,-0.24531007,0.0,-1.6737618,0.056467023,-0.08223257,-1.4987826,-0.08231354,0.08153297,-0.01479346,0.0,0.0,-2.610497,-0.6052589,-0.010419738,0.22145009,-0.08602574,-1.9495603,0.0,0.06317719,-0.54381293,-0.21762197,0.18454346,-0.020929277,1.0447776,0,0,True
927152,23117,232,332,6,2926569279,258,329584,4194304,4096,512,10,10,2,942080,1024,935941,16,4.474120172090905,1.3652024817542991,6.7735732485016165,152746.66666666666,46,222,-0.17695642,0.0,-0.20152187,0.056799795,-0.10865139,-1.3625982,-0.12066631,-0.002147058,-0.009041226,0.0,0.0,-2.703746,-0.76397586,-0.036369387,0.27026957,-0.05531749,-1.2699107,0.0,0.12370505,-0.548088,-0.19159271,0.30102882,-0.25454134,-0.85603553,0,0,True
913408,23117,208,34404,69,1582542230,8226,4096,5368709120,4096,4096,5,5,3,913408,4096,0,16,0.7380458771488941,0.0,7.988707142265889,13178.434782608696,5,9,-0.04667547,0.0,0.42843592,-0.15263352,-0.8532971,0.7596111,0.051466152,-0.18557183,0.0099869445,0.0,0.0,1.4382051,0.18122652,0.01763495,0.055320885,0.38540423,3.4358282,0.0,-0.7294636,0.042643387,2.0162625,-0.66658485,-0.0104486365,2.0985854,1,1,True
282112,23117,248,332,6,2150787867,258,145120,4194304,4096,512,10,10,2,307200,1024,301015,16,4.35294286845408,0.3093499455437607,6.653978083192747,46848.0,30,255,0.212338,0.0,-0.6632752,0.056799795,-0.12783776,-1.35543,-0.13713756,-0.042436764,-0.009041226,0.0,0.0,-2.3057585,-0.7484774,-0.036369387,-0.229597,-0.058840156,-1.3038527,0.0,-0.07058006,-0.5348158,-0.47071028,0.28228545,-0.15371989,-0.82580245,0,0,True
548864,23117,248,34404,6,2790848403,34,253280,5368709120,4096,4096,10,10,3,552960,4096,572320,16,3.704812168177901,1.0732967004197609,6.340876543000952,90794.66666666669,20,166,0.14774069,0.0,-0.4867668,-0.09839271,-0.13238317,-1.3239886,-0.13713756,0.079923615,0.054668546,0.0,0.0,-1.9332775,-0.7930476,0.124118924,-0.0716046,0.33335072,-1.3166265,0.0,-0.052693292,-0.6408398,-1.3428937,0.29522178,-0.19420679,-0.47783786,0,0,True
69984,23117,288,34404,7,1752821699,34,26928,5368709120,4096,512,6,6,2,65536,1024,72788,16,3.639279064953556,1.62931895943879,6.194427573775744,6802.285714285715,10,88,-0.24197574,0.0,-1.3245082,-0.18150584,-0.15144724,-1.2621613,-0.05259361,-0.2919487,0.07744048,0.0,0.0,-2.1815321,-0.42866725,-0.010419738,-0.21306866,-0.09733037,-1.5469294,0.0,-0.43201694,-0.49873582,-1.0859417,-0.26973853,0.41063052,0.07312228,0,0,True
358016,23117,216,332,5,1688263783,271,13893,4194304,4096,512,4,4,2,716800,1024,370717,16,4.152358786435453,0.0,6.437869601193712,65638.4,7,163,0.27204508,0.0,0.8079354,0.08964281,-0.042688563,-0.15230525,0.1323928,-0.52585876,0.036789544,0.0,0.0,1.6924158,0.22670959,-0.010289973,0.2968406,-0.0772728,-1.4023576,0.0,0.29490688,0.10192738,-2.6438184,0.5004897,-0.4530044,-0.9279515,0,0,True
149504,23117,128,332,6,1662686821,258,103535,4194304,4096,512,5,5,2,163840,1024,183144,16,5.901223604370131,2.933736131095884,7.987201160555667,24746.666666666668,3,24,-0.23340727,0.0,0.859722,0.032479312,-0.06989554,1.343113,-0.10749145,0.14979157,-0.0041329022,0.0,0.0,2.1767888,0.30744195,-0.005167402,-0.119605064,-0.053772636,-0.9534728,0.0,0.8248211,-0.3782786,2.0835094,0.55701685,-0.2013494,1.8947783,1,1,True
68608,23117,232,332,6,644167951,258,56320,4194304,4096,512,10,10,2,86016,1024,70538,16,3.926954781668133,0.1647650123505721,6.482491452589629,11264.0,25,115,-0.28694543,0.0,-0.12573661,0.07262696,-0.3137177,-0.4536137,-0.063021325,-0.029869325,-0.023271183,0.0,0.0,-2.1923215,-0.84211516,-0.010419738,-0.21737784,-0.061236456,-1.5385683,0.0,-0.03951813,-0.42792338,-1.0172064,-0.36680517,-0.10526875,-0.13745727,0,0,True
76096,23117,240,34404,6,1678809480,34,14172,5368709120,4096,512,5,5,2,86016,1024,119577,16,3.9165101817136,2.404489734568223,5.8454090206530775,10666.666666666666,7,242,-0.6192934,0.0,-0.285549,-0.28930792,-0.22319496,0.47365722,-0.05465442,-0.39336646,0.069859,0.0,0.0,1.4642103,0.26409107,-0.036369387,-0.27350175,-0.08760297,-1.9233004,0.0,0.012759447,-0.487259,-2.002854,-0.6892719,-0.4518222,-1.0078986,0,0,True
