sha256_hash,source,label
006a42d9440062c37d2ed47a9f2224228e78ceeba6c2d2f1a8c1579bfc05769f,cWindowssystem32,0
0095b2a5fd8b3284e594f0c5d438e2398930c6eddc83c1c52da4d7ca1e3de348,conti.PE,1
00a623a533e2eec6833e5b69c3ba4ee1f4186908f8da50ef0c393b697225175c,Dridex.PE,1
00c0276f2db52c5b0221d50dddfdbdc02e72dae58580d5f061c5ac356b0c6d86,CProgramFiles,0
00c247bb65ada1840104ab82c753a25ff80c04a4476ab2bbfa88463cf4d2685c,CProgramFiles,0
00cf4d4700642ee5d0b3496a2f9720714249a2ddc49b59a55a03f2047eb6f40c,CWindowsSysWOW64,0
00dfceef39b711bff2f7a5f5754a88ea846ecb783383bbdb4c5140f6d518ece8,CWindowsSysWOW64,0
00f51b2268fcca45c1f0eddfd21cdcf8ba8556628df4a3b5079d45b457bc3827,cWindowssystem32,0
014306ebfd4ed72ecb06bb12352f23a96484836afcea9b7fa783dac81773b3f7,CProgramFilesx86,0
0175b4cde1c38c47e9b0c375d6df5a2ef4d2a5dff7ff05c35df4f52152f17afe,CProgramFiles,0
019d089c3b6ab2e3ac982fc551722c8f24ec4c38c68b8f6013d31b46c129d514,BlackCat.PE,1
01c76c95623311cbd48a61248ffc3d0022758726b8adfc5c471121a7c284a244,CProgramFilesx86,0
01c889c67b61326656e76bb7cf52437f3864ea5e7efe937ae126f67c740cee7f,phobos.PE,1
01deb68854d080579be575ab3c27bb64ded1779f9f09dba51f7d9b3140e05c29,CProgramFiles,0
021f0bc01e4ded85d42d1f478155c3f7b69d699b41045c09c24696d7416e729b,CProgramFilesx86,0
02ae518c414766895791bdea059bfb242335c23a8ebd92a26c3fb6d927ac35ba,CProgramFiles,0
034a3795f27ecbf7f0651736c7ad436133b9e22df19f5518ed97a010d0af5d5f,CProgramFiles,0
03573716a7fcbd8b7fed8fe0163bbfbd3a852546920d6a666123f307c8dac7d9,CUsers[YourUser]AppDataLocalPrograms,0
035e64e40e576eeacd55da79ac50dd74acf786f6a9b9d98faddeec3816649758,CProgramFiles,0
03633f5da62bd1ed00adba69404d4aac1beab208ae854cbfab88d501d1d841f7,CProgramFiles,0
037f7c2b55521b546ecae0d6fa4d27cb190217198179d99134e2ffe192f573f0,Sodinokibi(REvil).PE,1
039a2374551b1364cec15052568f21994f468acff91d0a7edf929590f6a247ea,BlackMatter.PE,1
03ac1ae5829b664786af5339946d38e5884afd2213eefe44946bb111695d82c7,CProgramFiles,0
03bc4bf0e8c4f62cb10ef2960c70181d62f4c2f4f42f55e50cea371721aa40ec,phobos.PE,1
03c089407f3620f063485bb5e077d353eedde660e331c8f51538774d4694da7c,CProgramFiles,0
0400c7f16eefaeb66fd73da3a6098d5662652bc321752bf114c723e67bf0230f,LockBit.PE,1
042eba8e4df936101d0269358974654c1f6eedf162cf6d64463acf7231c5adaa,Sodinokibi(REvil).PE,1
0460ccd0c5dc2f8805870041ef8df4618f639928d6b4a3d70be7da0b7083eb2e,CProgramFiles,0
04c440a0efe2d7c4801a9d87e7fbb0af36617f301e2fc846046f112f8583e8dc,conti.PE,1
04f29eefccd32e1d55fade762897edfbb562b442c998d739c24efa645fa07999,phobos.PE,1
052d64cc6a34a6255642e092ffa1dbf85f1c0d5d6fb7371128666387e84d28be,Cerber.PE,1
054ed80e9e80886eb0a8a539f2ff9962bee172ea1b42d2df9e4e251c9aaa32dc,Cerber.PE,1
058b77d264d97537599660184d22d9d89f7d4f8a31c1b36e306fbfe8d835be85,cWindowssystem32,0
05e0c6a1cab5036e79fd0b3a17b84a092aa54f4c66715da984aeff87f15b8db8,LockBit.PE,1
05fad6d776d1395a3f5d50d07eb43ac4c0f6ca7ee20884dac456b8347f886a54,cWindowssystem32,0
0611efc2a09fadd881e97cb25fe2ad84f037de32d1fb9c83b84728e6f5af1a85,CProgramFiles,0
064b96114e02b42b2bb4ca42f983e2c8dd0ecce01db1a77b6cf089c900663d17,CProgramFiles,0
0650021baf6c8a18715c247236fbe4b6b427a4fed1b8047f53646e284c44b28d,CProgramFiles,0
06dea9c0e990fc46dff1d6e6e981f283dcece73aae4ba8f3421421b35512e579,CProgramFiles,0
06eaca96982f0285233c1fde257127394dabee664033cfeb9b4edf3d0771832b,WannaCry.PE,1
0713906cacc0837e77668ae10e22fffcae27dff855854327831c3a17411bf024,conti.PE,1
07c95abbe10a48bbb784ac6f2f5cf2ad312e9250532895db3f5acd05d732de34,Dridex.PE,1
07f30fea8d9a2dc7a8095cabd30e869ed741432c4c94629aef86e728c79348cc,cWindowssystem32,0
0849776a72077736819f6705e858fcebcce2cbef406d199019f80e80c039d184,LockBit.PE,1
085ea4f544a9fd727803a786c180ab6d404577c47b29b1f3220fb3a96f6c6172,CProgramFiles,0
08de09666a730898eb97602c68f5422bc08232bd0a93b69845de842e9ed16b1b,phobos.PE,1
08df803829cebc1842f8c1a2d18817d6ffe885a0b94a5ae453a50bea66e280ec,cWindowssystem32,0
09097193e26ef76fc37cae7e6d8cc581b06a2a15306eb75948427e5610e4e438,cWindowssystem32,0
09c6a18f0def6fb156dff6f8ef3eac3f27a23be141338e21eadda093b84ab0f2,CProgramFiles,0
09dd1232fc18a234ce1de1bae363fd6d09cea5fc166b60208974bf0cb4896f26,CProgramFiles,0
09f46adb1003ba75f5ceceaa879c6709fc66676f1e1e52c626dc0fa1877cb2aa,Cerber.PE,1
0a205cf6a962722c6ed9cf40f91eb1cf33850c7059e17a825f3784adcbbd9b4e,CProgramFiles,0
0a473e59bce872bc2f1b4fef41276536f490429f71d8efdb34192ce677f7e8ef,BlackMatter.PE,1
0aa0277ed87536d4e7307a43f323e45760e1f390aec4bdb6b21f49860c41a4c9,conti.PE,1
0b01bdc33aaeb6a694d74cdbf231da6c0afab3e545d574f48cbf4cb0737cf88f,CProgramFiles,0
0b2457bc8330e979f0d5427144daab53fe7359c353f2b2bfdef439fdb163784e,Dridex.PE,1
0b307f67b1d40d88035de79c21c79569e33eb7ebc66524adcbec321e90cd9361,BlackMatter.PE,1
0b348a839c69dfad232c9e2d491fed090ea8a5c117dffebd41abd54c7105e9e2,CProgramFilesx86,0
0b4e3ae6712fca009210fd94fe49003f802178437635630778a26e0ef02b0654,Dridex.PE,1
0b8b1b6e110fb6ac5cd2016453a5fa25d18cadf2d466de682e8043473155aac6,Cerber.PE,1
0b8ddc765169c917f494c7d88ef6197dfa9d71417517a657d2581757779d0f86,phobos.PE,1
0bb7c48e1bdf875296575306918b9f4d6bf9bb5489c605c2d9b56dc92c53ccb1,CProgramFilesx86,0
0bd6eba68d83bdb151544f3b361ae2f8b0434877f7bd43a79fc5c940fe815681,cWindowssystem32,0
0bfbf508753eb993092adf4da3d948785f78e1fb8775118c487da830e8d8fde5,Sodinokibi(REvil).PE,1
0c09f2611660441084ce0df425c51c11e147e6447963c3690f97e0b25c55ed64,CProgramFilesx86,0
0c216e409228f0fdb0ffdc6f672a7b6c32fa7b5200317cef2f28032ba13da911,CProgramFiles,0
0c4beadcc55229e6611d714c6421b24a7d617b5721d54460430224dcec3562c4,CWindowsSysWOW64,0
0c60e5d6bb49e1f85dea4305bcb2308708a11a8a2c228d0c1f3f41be79af09c2,CProgramFiles,0
0c75060062a467909999e50ded785fb51c39a13097ae0620330222f15facc787,conti.PE,1
0c9a91f51c74263a5f2c58e6c2f58674d9a3ba267b4dadebfbfd66a1a8e929ff,CProgramFiles,0
